"comparisons","doi"
"http://orkg.org/orkg/resource/R76129","10.48366/r76129"
"http://orkg.org/orkg/resource/R76284","10.48366/r76284"
"http://orkg.org/orkg/resource/R76297","10.48366/r76297"
"http://orkg.org/orkg/resource/R76324","10.48366/r76324"
"http://orkg.org/orkg/resource/R76783","10.48366/r76783"
"http://orkg.org/orkg/resource/R76785","10.48366/r76785"
"http://orkg.org/orkg/resource/R76906","10.48366/r76906"
"http://orkg.org/orkg/resource/R78163","10.48366/r78163"
"http://orkg.org/orkg/resource/R78454","10.48366/r78454"
"http://orkg.org/orkg/resource/R287928","10.48366/r287928"
"http://orkg.org/orkg/resource/R287929","10.48366/r287929"
"http://orkg.org/orkg/resource/R385010","10.48366/r385010"
"http://orkg.org/orkg/resource/R204130","10.48366/r204130"
"http://orkg.org/orkg/resource/R204209","10.48366/r204209"
"http://orkg.org/orkg/resource/R209243","10.48366/r209243"
"http://orkg.org/orkg/resource/R209290","10.48366/r209290"
"http://orkg.org/orkg/resource/R209443","10.48366/r209443"
"http://orkg.org/orkg/resource/R209929","10.48366/r209929"
"http://orkg.org/orkg/resource/R210137","10.48366/r210137"
"http://orkg.org/orkg/resource/R210410","10.48366/r210410"
"http://orkg.org/orkg/resource/R210531","10.48366/r210531"
"http://orkg.org/orkg/resource/R211015","10.48366/r211015"
"http://orkg.org/orkg/resource/R211094","10.48366/r211094"
"http://orkg.org/orkg/resource/R211233","10.48366/r211233"
"http://orkg.org/orkg/resource/R211260","10.48366/r211260"
"http://orkg.org/orkg/resource/R211514","10.48366/r211514"
"http://orkg.org/orkg/resource/R211515","10.48366/r211515"
"http://orkg.org/orkg/resource/R211826","10.48366/r211826"
"http://orkg.org/orkg/resource/R211921","10.48366/r211921"
"http://orkg.org/orkg/resource/R211935","10.48366/r211935"
"http://orkg.org/orkg/resource/R212405","10.48366/r212405"
"http://orkg.org/orkg/resource/R212408","10.48366/r212408"
"http://orkg.org/orkg/resource/R212457","10.48366/r212457"
"http://orkg.org/orkg/resource/R212463","10.48366/r212463"
"http://orkg.org/orkg/resource/R212576","10.48366/r212576"
"http://orkg.org/orkg/resource/R212902","10.48366/r212902"
"http://orkg.org/orkg/resource/R214162","10.48366/r214162"
"http://orkg.org/orkg/resource/R214164","10.48366/r214164"
"http://orkg.org/orkg/resource/R214230","10.48366/r214230"
"http://orkg.org/orkg/resource/R214266","10.48366/r214266"
"http://orkg.org/orkg/resource/R215005","10.48366/r215005"
"http://orkg.org/orkg/resource/R215211","10.48366/r215211"
"http://orkg.org/orkg/resource/R215443","10.48366/r215443"
"http://orkg.org/orkg/resource/R215567","10.48366/r215567"
"http://orkg.org/orkg/resource/R215669","10.48366/r215669"
"http://orkg.org/orkg/resource/R215685","10.48366/r215685"
"http://orkg.org/orkg/resource/R215882","10.48366/r215882"
"http://orkg.org/orkg/resource/R216269","10.48366/r216269"
"http://orkg.org/orkg/resource/R216423","10.48366/r216423"
"http://orkg.org/orkg/resource/R217120","10.48366/r217120"
"http://orkg.org/orkg/resource/R217123","10.48366/r217123"
"http://orkg.org/orkg/resource/R217389","10.48366/r217389"
"http://orkg.org/orkg/resource/R217424","10.48366/r217424"
"http://orkg.org/orkg/resource/R217425","10.48366/r217425"
"http://orkg.org/orkg/resource/R217545","10.48366/r217545"
"http://orkg.org/orkg/resource/R217592","10.48366/r217592"
"http://orkg.org/orkg/resource/R218943","10.48366/r218943"
"http://orkg.org/orkg/resource/R218989","10.48366/r218989"
"http://orkg.org/orkg/resource/R219046","10.48366/r219046"
"http://orkg.org/orkg/resource/R219085","10.48366/r219085"
"http://orkg.org/orkg/resource/R219275","10.48366/r219275"
"http://orkg.org/orkg/resource/R219286","10.48366/r219286"
"http://orkg.org/orkg/resource/R219410","10.48366/r219410"
"http://orkg.org/orkg/resource/R219443","10.48366/r219443"
"http://orkg.org/orkg/resource/R219581","10.48366/r219581"
"http://orkg.org/orkg/resource/R219718","10.48366/r219718"
"http://orkg.org/orkg/resource/R220094","10.48366/r220094"
"http://orkg.org/orkg/resource/R220231","10.48366/r220231"
"http://orkg.org/orkg/resource/R220872","10.48366/r220872"
"http://orkg.org/orkg/resource/R220885","10.48366/r220885"
"http://orkg.org/orkg/resource/R220919","10.48366/r220919"
"http://orkg.org/orkg/resource/R220920","10.48366/r220920"
"http://orkg.org/orkg/resource/R221160","10.48366/r221160"
"http://orkg.org/orkg/resource/R221192","10.48366/r221192"
"http://orkg.org/orkg/resource/R221200","10.48366/r221200"
"http://orkg.org/orkg/resource/R221688","10.48366/r221688"
"http://orkg.org/orkg/resource/R221781","10.48366/r221781"
"http://orkg.org/orkg/resource/R221782","10.48366/r221782"
"http://orkg.org/orkg/resource/R222041","10.48366/r222041"
"http://orkg.org/orkg/resource/R222990","10.48366/r222990"
"http://orkg.org/orkg/resource/R223002","10.48366/r223002"
"http://orkg.org/orkg/resource/R224809","10.48366/r224809"
"http://orkg.org/orkg/resource/R224810","10.48366/r224810"
"http://orkg.org/orkg/resource/R225220","10.48366/r225220"
"http://orkg.org/orkg/resource/R225253","10.48366/r225253"
"http://orkg.org/orkg/resource/R225329","10.48366/r225329"
"http://orkg.org/orkg/resource/R226630","10.48366/r226630"
"http://orkg.org/orkg/resource/R226772","10.48366/r226772"
"http://orkg.org/orkg/resource/R228158","10.48366/r228158"
"http://orkg.org/orkg/resource/R228696","10.48366/r228696"
"http://orkg.org/orkg/resource/R230415","10.48366/r230415"
"http://orkg.org/orkg/resource/R234068","10.48366/r234068"
"http://orkg.org/orkg/resource/R235512","10.48366/r235512"
"http://orkg.org/orkg/resource/R235550","10.48366/r235550"
"http://orkg.org/orkg/resource/R236296","10.48366/r236296"
"http://orkg.org/orkg/resource/R239314","10.48366/r239314"
"http://orkg.org/orkg/resource/R246267","10.48366/r246267"
"http://orkg.org/orkg/resource/R248411","10.48366/r248411"
"http://orkg.org/orkg/resource/R249037","10.48366/r249037"
"http://orkg.org/orkg/resource/R250455","10.48366/r250455"
"http://orkg.org/orkg/resource/R260009","10.48366/r260009"
"http://orkg.org/orkg/resource/R260193","10.48366/r260193"
"http://orkg.org/orkg/resource/R260330","10.48366/r260330"
"http://orkg.org/orkg/resource/R261028","10.48366/r261028"
"http://orkg.org/orkg/resource/R266339","10.48366/r266339"
"http://orkg.org/orkg/resource/R266423","10.48366/r266423"
"http://orkg.org/orkg/resource/R274032","10.48366/r274032"
"http://orkg.org/orkg/resource/R275000","10.48366/r275000"
"http://orkg.org/orkg/resource/R280729","10.48366/r280729"
"http://orkg.org/orkg/resource/R281265","10.48366/r281265"
"http://orkg.org/orkg/resource/R282510","10.48366/r282510"
"http://orkg.org/orkg/resource/R282511","10.48366/r282511"
"http://orkg.org/orkg/resource/R282512","10.48366/r282512"
"http://orkg.org/orkg/resource/R284515","10.48366/r284515"
"http://orkg.org/orkg/resource/R285347","10.48366/r285347"
"http://orkg.org/orkg/resource/R36099","10.48366/r36099"
"http://orkg.org/orkg/resource/R38484","10.48366/r38484"
"http://orkg.org/orkg/resource/R44930","10.48366/r44930"
"http://orkg.org/orkg/resource/R70212","10.48366/r70212"
"http://orkg.org/orkg/resource/R8342","10.48366/r8342"
"http://orkg.org/orkg/resource/R8364","10.48366/r8364"
"http://orkg.org/orkg/resource/R107854","10.48366/r107854"
"http://orkg.org/orkg/resource/R108358","10.48366/r108358"
"http://orkg.org/orkg/resource/R108601","10.48366/r108601"
"http://orkg.org/orkg/resource/R108719","10.48366/r108719"
"http://orkg.org/orkg/resource/R109041","10.48366/r109041"
"http://orkg.org/orkg/resource/R109236","10.48366/r109236"
"http://orkg.org/orkg/resource/R109546","10.48366/r109546"
"http://orkg.org/orkg/resource/R109612","10.48366/r109612"
"http://orkg.org/orkg/resource/R109904","10.48366/r109904"
"http://orkg.org/orkg/resource/R110071","10.48366/r110071"
"http://orkg.org/orkg/resource/R110124","10.48366/r110124"
"http://orkg.org/orkg/resource/R110138","10.48366/r110138"
"http://orkg.org/orkg/resource/R110188","10.48366/r110188"
"http://orkg.org/orkg/resource/R110245","10.48366/r110245"
"http://orkg.org/orkg/resource/R110361","10.48366/r110361"
"http://orkg.org/orkg/resource/R110651","10.48366/r110651"
"http://orkg.org/orkg/resource/R110655","10.48366/r110655"
"http://orkg.org/orkg/resource/R110777","10.48366/r110777"
"http://orkg.org/orkg/resource/R110991","10.48366/r110991"
"http://orkg.org/orkg/resource/R111117","10.48366/r111117"
"http://orkg.org/orkg/resource/R111151","10.48366/r111151"
"http://orkg.org/orkg/resource/R111154","10.48366/r111154"
"http://orkg.org/orkg/resource/R112387","10.48366/r112387"
"http://orkg.org/orkg/resource/R113089","10.48366/r113089"
"http://orkg.org/orkg/resource/R114155","10.48366/r114155"
"http://orkg.org/orkg/resource/R137151","10.48366/r137151"
"http://orkg.org/orkg/resource/R137164","10.48366/r137164"
"http://orkg.org/orkg/resource/R137469","10.48366/r137469"
"http://orkg.org/orkg/resource/R138179","10.48366/r138179"
"http://orkg.org/orkg/resource/R138373","10.48366/r138373"
"http://orkg.org/orkg/resource/R138393","10.48366/r138393"
"http://orkg.org/orkg/resource/R138418","10.48366/r138418"
"http://orkg.org/orkg/resource/R138483","10.48366/r138483"
"http://orkg.org/orkg/resource/R138501","10.48366/r138501"
"http://orkg.org/orkg/resource/R138542","10.48366/r138542"
"http://orkg.org/orkg/resource/R138633","10.48366/r138633"
"http://orkg.org/orkg/resource/R139050","10.48366/r139050"
"http://orkg.org/orkg/resource/R139190","10.48366/r139190"
"http://orkg.org/orkg/resource/R139191","10.48366/r139191"
"http://orkg.org/orkg/resource/R139551","10.48366/r139551"
"http://orkg.org/orkg/resource/R139567","10.48366/r139567"
"http://orkg.org/orkg/resource/R139568","10.48366/r139568"
"http://orkg.org/orkg/resource/R139845","10.48366/r139845"
"http://orkg.org/orkg/resource/R140131","10.48366/r140131"
"http://orkg.org/orkg/resource/R140805","10.48366/r140805"
"http://orkg.org/orkg/resource/R172704","10.48366/r172704"
"http://orkg.org/orkg/resource/R172826","10.48366/r172826"
"http://orkg.org/orkg/resource/R172932","10.48366/r172932"
"http://orkg.org/orkg/resource/R175108","10.48366/r175108"
"http://orkg.org/orkg/resource/R175304","10.48366/r175304"
"http://orkg.org/orkg/resource/R176017","10.48366/r176017"
"http://orkg.org/orkg/resource/R176038","10.48366/r176038"
"http://orkg.org/orkg/resource/R178188","10.48366/r178188"
"http://orkg.org/orkg/resource/R178201","10.48366/r178201"
"http://orkg.org/orkg/resource/R178450","10.48366/r178450"
"http://orkg.org/orkg/resource/R178479","10.48366/r178479"
"http://orkg.org/orkg/resource/R186111","10.48366/r186111"
"http://orkg.org/orkg/resource/R187049","10.48366/r187049"
"http://orkg.org/orkg/resource/R139972",
"http://orkg.org/orkg/resource/R140130",
"http://orkg.org/orkg/resource/R140348",
"http://orkg.org/orkg/resource/R140414",
"http://orkg.org/orkg/resource/R140421",
"http://orkg.org/orkg/resource/R140457",
"http://orkg.org/orkg/resource/R140543",
"http://orkg.org/orkg/resource/R140768",
"http://orkg.org/orkg/resource/R141156",
"http://orkg.org/orkg/resource/R141425",
"http://orkg.org/orkg/resource/R141593",
"http://orkg.org/orkg/resource/R141627",
"http://orkg.org/orkg/resource/R141628",
"http://orkg.org/orkg/resource/R141651",
"http://orkg.org/orkg/resource/R141699",
"http://orkg.org/orkg/resource/R141723",
"http://orkg.org/orkg/resource/R141747",
"http://orkg.org/orkg/resource/R141752",
"http://orkg.org/orkg/resource/R141780",
"http://orkg.org/orkg/resource/R141781",
"http://orkg.org/orkg/resource/R141782",
"http://orkg.org/orkg/resource/R141783",
"http://orkg.org/orkg/resource/R141844",
"http://orkg.org/orkg/resource/R141845",
"http://orkg.org/orkg/resource/R141906",
"http://orkg.org/orkg/resource/R142085",
"http://orkg.org/orkg/resource/R142177",
"http://orkg.org/orkg/resource/R142178",
"http://orkg.org/orkg/resource/R142202",
"http://orkg.org/orkg/resource/R142206",
"http://orkg.org/orkg/resource/R142230",
"http://orkg.org/orkg/resource/R142299",
"http://orkg.org/orkg/resource/R142379",
"http://orkg.org/orkg/resource/R142442",
"http://orkg.org/orkg/resource/R142507",
"http://orkg.org/orkg/resource/R142822",
"http://orkg.org/orkg/resource/R142836",
"http://orkg.org/orkg/resource/R143716",
"http://orkg.org/orkg/resource/R144044",
"http://orkg.org/orkg/resource/R144095",
"http://orkg.org/orkg/resource/R144121",
"http://orkg.org/orkg/resource/R144134",
"http://orkg.org/orkg/resource/R144156",
"http://orkg.org/orkg/resource/R144364",
"http://orkg.org/orkg/resource/R144706",
"http://orkg.org/orkg/resource/R144936",
"http://orkg.org/orkg/resource/R145031",
"http://orkg.org/orkg/resource/R145556",
"http://orkg.org/orkg/resource/R145685",
"http://orkg.org/orkg/resource/R145686",
"http://orkg.org/orkg/resource/R145717",
"http://orkg.org/orkg/resource/R145737",
"http://orkg.org/orkg/resource/R145950",
"http://orkg.org/orkg/resource/R146458",
"http://orkg.org/orkg/resource/R146460",
"http://orkg.org/orkg/resource/R146870",
"http://orkg.org/orkg/resource/R146991",
"http://orkg.org/orkg/resource/R147001",
"http://orkg.org/orkg/resource/R147042",
"http://orkg.org/orkg/resource/R147636",
"http://orkg.org/orkg/resource/R147637",
"http://orkg.org/orkg/resource/R147891",
"http://orkg.org/orkg/resource/R148260",
"http://orkg.org/orkg/resource/R148316",
"http://orkg.org/orkg/resource/R148383",
"http://orkg.org/orkg/resource/R148574",
"http://orkg.org/orkg/resource/R148678",
"http://orkg.org/orkg/resource/R149206",
"http://orkg.org/orkg/resource/R149847",
"http://orkg.org/orkg/resource/R149998",
"http://orkg.org/orkg/resource/R150058",
"http://orkg.org/orkg/resource/R150570",
"http://orkg.org/orkg/resource/R151435",
"http://orkg.org/orkg/resource/R151826",
"http://orkg.org/orkg/resource/R152186",
"http://orkg.org/orkg/resource/R152282",
"http://orkg.org/orkg/resource/R153724",
"http://orkg.org/orkg/resource/R153725",
"http://orkg.org/orkg/resource/R153799",
"http://orkg.org/orkg/resource/R153815",
"http://orkg.org/orkg/resource/R154287",
"http://orkg.org/orkg/resource/R154289",
"http://orkg.org/orkg/resource/R155101",
"http://orkg.org/orkg/resource/R155266",
"http://orkg.org/orkg/resource/R155272",
"http://orkg.org/orkg/resource/R155341",
"http://orkg.org/orkg/resource/R155504",
"http://orkg.org/orkg/resource/R155621",
"http://orkg.org/orkg/resource/R155671",
"http://orkg.org/orkg/resource/R155798",
"http://orkg.org/orkg/resource/R155804",
"http://orkg.org/orkg/resource/R155836",
"http://orkg.org/orkg/resource/R156112",
"http://orkg.org/orkg/resource/R156301",
"http://orkg.org/orkg/resource/R156303",
"http://orkg.org/orkg/resource/R157326",
"http://orkg.org/orkg/resource/R159000",
"http://orkg.org/orkg/resource/R159490",
"http://orkg.org/orkg/resource/R161302",
"http://orkg.org/orkg/resource/R157384",
"http://orkg.org/orkg/resource/R157531",
"http://orkg.org/orkg/resource/R159158",
"http://orkg.org/orkg/resource/R159397",
"http://orkg.org/orkg/resource/R159398",
"http://orkg.org/orkg/resource/R160694",
"http://orkg.org/orkg/resource/R160847",
"http://orkg.org/orkg/resource/R161078",
"http://orkg.org/orkg/resource/R161297",
"http://orkg.org/orkg/resource/R161414",
"http://orkg.org/orkg/resource/R161612",
"http://orkg.org/orkg/resource/R161616",
"http://orkg.org/orkg/resource/R161642",
"http://orkg.org/orkg/resource/R161728",
"http://orkg.org/orkg/resource/R161729",
"http://orkg.org/orkg/resource/R162329",
"http://orkg.org/orkg/resource/R162574",
"http://orkg.org/orkg/resource/R162575",
"http://orkg.org/orkg/resource/R162795",
"http://orkg.org/orkg/resource/R162851",
"http://orkg.org/orkg/resource/R163049",
"http://orkg.org/orkg/resource/R163145",
"http://orkg.org/orkg/resource/R163201",
"http://orkg.org/orkg/resource/R163259",
"http://orkg.org/orkg/resource/R163265",
"http://orkg.org/orkg/resource/R163742",
"http://orkg.org/orkg/resource/R163843",
"http://orkg.org/orkg/resource/R164231",
"http://orkg.org/orkg/resource/R164312",
"http://orkg.org/orkg/resource/R164335",
"http://orkg.org/orkg/resource/R165793",
"http://orkg.org/orkg/resource/R165889",
"http://orkg.org/orkg/resource/R165916",
"http://orkg.org/orkg/resource/R166240",
"http://orkg.org/orkg/resource/R166560",
"http://orkg.org/orkg/resource/R172155",
"http://orkg.org/orkg/resource/R172158",
"http://orkg.org/orkg/resource/R213443",
"http://orkg.org/orkg/resource/R68125",
"http://orkg.org/orkg/resource/R68538",
"http://orkg.org/orkg/resource/R68996",
"http://orkg.org/orkg/resource/R69027",
"http://orkg.org/orkg/resource/R70880",
"http://orkg.org/orkg/resource/R73180",
"http://orkg.org/orkg/resource/R73195",
"http://orkg.org/orkg/resource/R74112",
"http://orkg.org/orkg/resource/R74193",
"http://orkg.org/orkg/resource/R74231",
"http://orkg.org/orkg/resource/R74270",
"http://orkg.org/orkg/resource/R74278",
"http://orkg.org/orkg/resource/R74314",
"http://orkg.org/orkg/resource/R74650",
"http://orkg.org/orkg/resource/R74752",
"http://orkg.org/orkg/resource/R74941",
"http://orkg.org/orkg/resource/R74989",
"http://orkg.org/orkg/resource/R75004",
"http://orkg.org/orkg/resource/R75363",
"http://orkg.org/orkg/resource/R75638",
"http://orkg.org/orkg/resource/R75681",
"http://orkg.org/orkg/resource/R75701",
"http://orkg.org/orkg/resource/R75713",
"http://orkg.org/orkg/resource/R75783",
"http://orkg.org/orkg/resource/R75839",
"http://orkg.org/orkg/resource/R75840",
"http://orkg.org/orkg/resource/R75856",
"http://orkg.org/orkg/resource/R76163",
"http://orkg.org/orkg/resource/R76190",
"http://orkg.org/orkg/resource/R76196",
"http://orkg.org/orkg/resource/R76692",
"http://orkg.org/orkg/resource/R77161",
"http://orkg.org/orkg/resource/R77162",
"http://orkg.org/orkg/resource/R77220",
"http://orkg.org/orkg/resource/R78023",
"http://orkg.org/orkg/resource/R78049",
"http://orkg.org/orkg/resource/R78108",
"http://orkg.org/orkg/resource/R78352",
"http://orkg.org/orkg/resource/R78489",
"http://orkg.org/orkg/resource/R78492",
"http://orkg.org/orkg/resource/R78499",
"http://orkg.org/orkg/resource/R385006",
"http://orkg.org/orkg/resource/R204164",
"http://orkg.org/orkg/resource/R204284",
"http://orkg.org/orkg/resource/R205002",
"http://orkg.org/orkg/resource/R206121",
"http://orkg.org/orkg/resource/R206152",
"http://orkg.org/orkg/resource/R206161",
"http://orkg.org/orkg/resource/R206166",
"http://orkg.org/orkg/resource/R206187",
"http://orkg.org/orkg/resource/R206242",
"http://orkg.org/orkg/resource/R206258",
"http://orkg.org/orkg/resource/R206261",
"http://orkg.org/orkg/resource/R206309",
"http://orkg.org/orkg/resource/R207120",
"http://orkg.org/orkg/resource/R209150",
"http://orkg.org/orkg/resource/R209812",
"http://orkg.org/orkg/resource/R210415",
"http://orkg.org/orkg/resource/R210419",
"http://orkg.org/orkg/resource/R210420",
"http://orkg.org/orkg/resource/R210471",
"http://orkg.org/orkg/resource/R211056",
"http://orkg.org/orkg/resource/R212544",
"http://orkg.org/orkg/resource/R212903",
"http://orkg.org/orkg/resource/R212916",
"http://orkg.org/orkg/resource/R213085",
"http://orkg.org/orkg/resource/R213136",
"http://orkg.org/orkg/resource/R213302",
"http://orkg.org/orkg/resource/R213976",
"http://orkg.org/orkg/resource/R214198",
"http://orkg.org/orkg/resource/R214201",
"http://orkg.org/orkg/resource/R214208",
"http://orkg.org/orkg/resource/R214222",
"http://orkg.org/orkg/resource/R214403",
"http://orkg.org/orkg/resource/R215000",
"http://orkg.org/orkg/resource/R215008",
"http://orkg.org/orkg/resource/R215025",
"http://orkg.org/orkg/resource/R215110",
"http://orkg.org/orkg/resource/R215113",
"http://orkg.org/orkg/resource/R215149",
"http://orkg.org/orkg/resource/R215188",
"http://orkg.org/orkg/resource/R215416",
"http://orkg.org/orkg/resource/R215568",
"http://orkg.org/orkg/resource/R215579",
"http://orkg.org/orkg/resource/R215599",
"http://orkg.org/orkg/resource/R215963",
"http://orkg.org/orkg/resource/R215964",
"http://orkg.org/orkg/resource/R215965",
"http://orkg.org/orkg/resource/R216073",
"http://orkg.org/orkg/resource/R216109",
"http://orkg.org/orkg/resource/R216212",
"http://orkg.org/orkg/resource/R216313",
"http://orkg.org/orkg/resource/R216407",
"http://orkg.org/orkg/resource/R216430",
"http://orkg.org/orkg/resource/R216444",
"http://orkg.org/orkg/resource/R216492",
"http://orkg.org/orkg/resource/R216505",
"http://orkg.org/orkg/resource/R216543",
"http://orkg.org/orkg/resource/R216549",
"http://orkg.org/orkg/resource/R217000",
"http://orkg.org/orkg/resource/R217013",
"http://orkg.org/orkg/resource/R217390",
"http://orkg.org/orkg/resource/R217391",
"http://orkg.org/orkg/resource/R217400",
"http://orkg.org/orkg/resource/R217404",
"http://orkg.org/orkg/resource/R217407",
"http://orkg.org/orkg/resource/R217418",
"http://orkg.org/orkg/resource/R217421",
"http://orkg.org/orkg/resource/R217515",
"http://orkg.org/orkg/resource/R217803",
"http://orkg.org/orkg/resource/R217829",
"http://orkg.org/orkg/resource/R217830",
"http://orkg.org/orkg/resource/R218144",
"http://orkg.org/orkg/resource/R218549",
"http://orkg.org/orkg/resource/R219130",
"http://orkg.org/orkg/resource/R219757",
"http://orkg.org/orkg/resource/R220422",
"http://orkg.org/orkg/resource/R220697",
"http://orkg.org/orkg/resource/R221021",
"http://orkg.org/orkg/resource/R221096",
"http://orkg.org/orkg/resource/R221127",
"http://orkg.org/orkg/resource/R221148",
"http://orkg.org/orkg/resource/R221394",
"http://orkg.org/orkg/resource/R221396",
"http://orkg.org/orkg/resource/R221864",
"http://orkg.org/orkg/resource/R222164",
"http://orkg.org/orkg/resource/R222590",
"http://orkg.org/orkg/resource/R222684",
"http://orkg.org/orkg/resource/R222705",
"http://orkg.org/orkg/resource/R222737",
"http://orkg.org/orkg/resource/R222814",
"http://orkg.org/orkg/resource/R222954",
"http://orkg.org/orkg/resource/R222998",
"http://orkg.org/orkg/resource/R222999",
"http://orkg.org/orkg/resource/R223001",
"http://orkg.org/orkg/resource/R223132",
"http://orkg.org/orkg/resource/R223226",
"http://orkg.org/orkg/resource/R227615",
"http://orkg.org/orkg/resource/R228134",
"http://orkg.org/orkg/resource/R230114",
"http://orkg.org/orkg/resource/R232883",
"http://orkg.org/orkg/resource/R233015",
"http://orkg.org/orkg/resource/R233016",
"http://orkg.org/orkg/resource/R233481",
"http://orkg.org/orkg/resource/R235004",
"http://orkg.org/orkg/resource/R235005",
"http://orkg.org/orkg/resource/R235032",
"http://orkg.org/orkg/resource/R235228",
"http://orkg.org/orkg/resource/R235571",
"http://orkg.org/orkg/resource/R235572",
"http://orkg.org/orkg/resource/R235595",
"http://orkg.org/orkg/resource/R236148",
"http://orkg.org/orkg/resource/R236211",
