,comparisons,doi
97,http://orkg.org/orkg/resource/R76324,10.48366/r76324
98,http://orkg.org/orkg/resource/R76783,10.48366/r76783
99,http://orkg.org/orkg/resource/R76785,10.48366/r76785
100,http://orkg.org/orkg/resource/R76906,10.48366/r76906
101,http://orkg.org/orkg/resource/R78163,10.48366/r78163
102,http://orkg.org/orkg/resource/R78454,10.48366/r78454
103,http://orkg.org/orkg/resource/R204080,10.48366/r204080
104,http://orkg.org/orkg/resource/R204130,10.48366/r204130
105,http://orkg.org/orkg/resource/R204209,10.48366/r204209
106,http://orkg.org/orkg/resource/R209243,10.48366/r209243
107,http://orkg.org/orkg/resource/R209290,10.48366/r209290
108,http://orkg.org/orkg/resource/R209443,10.48366/r209443
109,http://orkg.org/orkg/resource/R209929,10.48366/r209929
110,http://orkg.org/orkg/resource/R210137,10.48366/r210137
111,http://orkg.org/orkg/resource/R210410,10.48366/r210410
112,http://orkg.org/orkg/resource/R210531,10.48366/r210531
113,http://orkg.org/orkg/resource/R211015,10.48366/r211015
114,http://orkg.org/orkg/resource/R211094,10.48366/r211094
115,http://orkg.org/orkg/resource/R211233,10.48366/r211233
116,http://orkg.org/orkg/resource/R211260,10.48366/r211260
117,http://orkg.org/orkg/resource/R211514,10.48366/r211514
118,http://orkg.org/orkg/resource/R211515,10.48366/r211515
119,http://orkg.org/orkg/resource/R211826,10.48366/r211826
120,http://orkg.org/orkg/resource/R211921,10.48366/r211921
121,http://orkg.org/orkg/resource/R211935,10.48366/r211935
122,http://orkg.org/orkg/resource/R212405,10.48366/r212405
123,http://orkg.org/orkg/resource/R212408,10.48366/r212408
124,http://orkg.org/orkg/resource/R212457,10.48366/r212457
125,http://orkg.org/orkg/resource/R212463,10.48366/r212463
126,http://orkg.org/orkg/resource/R212576,10.48366/r212576
127,http://orkg.org/orkg/resource/R212902,10.48366/r212902
128,http://orkg.org/orkg/resource/R214162,10.48366/r214162
129,http://orkg.org/orkg/resource/R214164,10.48366/r214164
130,http://orkg.org/orkg/resource/R214230,10.48366/r214230
131,http://orkg.org/orkg/resource/R214266,10.48366/r214266
132,http://orkg.org/orkg/resource/R215005,10.48366/r215005
133,http://orkg.org/orkg/resource/R215211,10.48366/r215211
134,http://orkg.org/orkg/resource/R215443,10.48366/r215443
135,http://orkg.org/orkg/resource/R215567,10.48366/r215567
136,http://orkg.org/orkg/resource/R215669,10.48366/r215669
137,http://orkg.org/orkg/resource/R215685,10.48366/r215685
138,http://orkg.org/orkg/resource/R215882,10.48366/r215882
139,http://orkg.org/orkg/resource/R216269,10.48366/r216269
140,http://orkg.org/orkg/resource/R216423,10.48366/r216423
141,http://orkg.org/orkg/resource/R217120,10.48366/r217120
142,http://orkg.org/orkg/resource/R217123,10.48366/r217123
143,http://orkg.org/orkg/resource/R217389,10.48366/r217389
144,http://orkg.org/orkg/resource/R217424,10.48366/r217424
145,http://orkg.org/orkg/resource/R217425,10.48366/r217425
146,http://orkg.org/orkg/resource/R217545,10.48366/r217545
147,http://orkg.org/orkg/resource/R217592,10.48366/r217592
148,http://orkg.org/orkg/resource/R218943,10.48366/r218943
149,http://orkg.org/orkg/resource/R218989,10.48366/r218989
150,http://orkg.org/orkg/resource/R219046,10.48366/r219046
151,http://orkg.org/orkg/resource/R219085,10.48366/r219085
152,http://orkg.org/orkg/resource/R219275,10.48366/r219275
153,http://orkg.org/orkg/resource/R219286,10.48366/r219286
154,http://orkg.org/orkg/resource/R219410,10.48366/r219410
155,http://orkg.org/orkg/resource/R219443,10.48366/r219443
156,http://orkg.org/orkg/resource/R219581,10.48366/r219581
157,http://orkg.org/orkg/resource/R219718,10.48366/r219718
158,http://orkg.org/orkg/resource/R220094,10.48366/r220094
159,http://orkg.org/orkg/resource/R220231,10.48366/r220231
160,http://orkg.org/orkg/resource/R220872,10.48366/r220872
161,http://orkg.org/orkg/resource/R220885,10.48366/r220885
162,http://orkg.org/orkg/resource/R220919,10.48366/r220919
163,http://orkg.org/orkg/resource/R220920,10.48366/r220920
164,http://orkg.org/orkg/resource/R221160,10.48366/r221160
