,comparison,doi,metric,score_earned,score_total
110,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-A1-03D,0,1
111,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-A1-02M,1,1
112,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-F1-01D,1,1
113,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-F1-02D,1,1
114,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-F2-01M,2,2
115,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-F3-01M,0,1
116,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-F4-01M,2,2
117,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-A1-01M,0,1
118,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-I1-01M,1,2
119,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-I2-01M,0,1
120,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-I3-01M,0,1
121,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-R1-01MD,1,4
122,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-R1.1-01M,2,2
123,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-R1.2-01M,1,2
124,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-R1.3-01M,0,1
125,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-R1.3-02D,0,1
126,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-A1-03D,0,1
127,http://orkg.org/orkg/resource/R141317,10.48366/r141317,FsF-A1-02M,1,1
128,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-F1-01D,1,1
129,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-F1-02D,1,1
130,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-F2-01M,2,2
131,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-F3-01M,0,1
